char_name,win_rate_1,win_confidence_1,win_rate_2,win_confidence_2,win_rate_4,win_confidence_4,win_rate_5,win_confidence_5,win_rate_6,win_confidence_6,win_rate_7,win_confidence_7,win_rate_8,win_confidence_8,win_rate_9,win_confidence_9,win_rate_10,win_confidence_10,win_rate_99,win_confidence_99
sol,1.0,0.0,0.0,0.0,0.5689655172413793,0.16776628586179126,0.5459459459459459,0.09444140583704588,0.4633699633699634,0.055058555434845245,0.509,0.04078677275294038,0.4789237668161435,0.027292989100396372,0.5027665068240502,0.024775264723181326,0.49784034554471285,0.016315895294571923,0.48056338028169016,0.021634514226549325
ky,0.0,0.0,0.0,0.0,0.6231884057971014,0.1505105600055592,0.47368421052631576,0.08910749125976072,0.48484848484848486,0.05019012188255299,0.5302104548540394,0.033550125562207204,0.49919276719405875,0.02318027274226443,0.4872657376261413,0.01998930870296837,0.5120168483647175,0.014354024037213236,0.5052119527449618,0.019632476665931868
may,0.0,0.0,0.0,0.0,0.717948717948718,0.13145683015540754,0.5529411764705883,0.09838231709776374,0.5358090185676393,0.0662677751086392,0.5365853658536586,0.05572632271092246,0.536741214057508,0.036358992956411915,0.5076335877862596,0.03253215399537436,0.4948453608247423,0.022799419701242565,0.4567951318458418,0.025885335861141504
axl,0.0,0.0,0.0,0.0,0.5897435897435898,0.2032107621839821,0.5471698113207547,0.17640485004037834,0.5055555555555555,0.09614498760713065,0.4353312302839117,0.07184505330308631,0.4931506849315068,0.053375571081103516,0.5,0.04504875407713779,0.47665056360708535,0.025854720429695607,0.5510204081632653,0.028986035031739972
chipp,0.6666666666666666,0.7021870595978444,0.0,0.0,0.3404255319148936,0.126095259417893,0.3,0.11272831377818408,0.3972602739726027,0.060323305013188826,0.4878048780487805,0.055859480183229754,0.46215139442231074,0.03630947758808098,0.5118949958982772,0.03693728116387424,0.47987825498816367,0.023703478552781897,0.5511551155115512,0.024573227322393174
potemkin,0.0,0.0,0.0,0.0,0.5405405405405406,0.2113764395818827,0.620253164556962,0.14087623502013386,0.6119402985074627,0.0627061993889467,0.5705445544554455,0.04492808056507092,0.5331504343850023,0.027523818014606297,0.5311488673139159,0.025895308385254296,0.4990354938271605,0.01791663333188335,0.4875892553553213,0.02377980949240736
faust,0.0,0.0,0.0,0.0,0.5316455696202531,0.14484535625058642,0.49523809523809526,0.1258853999335257,0.4772727272727273,0.07931195066575537,0.49589490968801314,0.052271676122287176,0.4921156373193167,0.03306194378488513,0.4420689655172414,0.03364890826676558,0.45017182130584193,0.02268712788158002,0.48817567567567566,0.03747937876479211
millia,0.0,0.0,0.5,0.5266402946983834,0.5974025974025974,0.14419273549822875,0.4489795918367347,0.1296294894583217,0.504950495049505,0.057401432847442424,0.4509151414309484,0.05236602555541463,0.44879725085910654,0.033641007263084985,0.465962441314554,0.031177857495673925,0.5009276437847866,0.021001270089031306,0.45043590571520825,0.023066132349547176
zato,0.0,0.0,0.0,0.0,0.14285714285714285,0.17061541838665592,0.4375,0.1209375,0.4785714285714286,0.0770214137616453,0.4403846153846154,0.056166702320773206,0.5052631578947369,0.03820438585307775,0.48778501628664495,0.03680110758950928,0.4660985550203779,0.0247735183705384,0.48268839103869654,0.029090990159978243
ramlethal,1.0,0.0,0.0,0.0,0.5280898876404494,0.0965368830442095,0.4961832061068702,0.07969414409814604,0.5477888730385164,0.04849957381553546,0.48990342405618964,0.03821547706629893,0.5082904516866781,0.030841471999750746,0.5244399185336049,0.029073648214467042,0.5013537906137184,0.01937707599504221,0.49142280524722504,0.023655293763345648
leo,0.0,0.0,0.0,0.0,0.3181818181818182,0.2562007131322366,0.5877192982456141,0.11894570349957127,0.49710982658959535,0.06934967104475764,0.5306122448979592,0.06131333273555823,0.5114192495921697,0.03683249870888244,0.5007299270072992,0.034852101000809654,0.5064440538957234,0.02207607597560543,0.4907621247113164,0.030991431001804726
nagoriyuki,0.0,0.0,0.0,0.0,0.6111111111111112,0.20962414925436737,0.5242718446601942,0.12695762481524459,0.518796992481203,0.05588905690444483,0.48717948717948717,0.05008297665643361,0.5401709401709401,0.03069339728549773,0.4939759036144578,0.025849878942900396,0.5225837018319647,0.016194808011705426,0.552754624923765,0.018290282624921026
giovanna,0.0,0.0,0.42857142857142855,0.4825732772647374,0.35960591133004927,0.08689779475656827,0.49808429118773945,0.07984840933189646,0.4681159420289855,0.04900951030657619,0.4710871241326137,0.03575957962880983,0.46561108362196935,0.02862707166013339,0.49113805970149255,0.027855380505808842,0.4772577455504285,0.0191023405908663,0.5107679804957335,0.025997594631236937
anji,0.0,0.0,0.0,0.0,0.5384615384615384,0.3567215305267886,0.35,0.1945720303640788,0.6146788990825688,0.08504073552225784,0.45161290322580644,0.061631342207663704,0.5366568914956011,0.04022366124224701,0.5337423312883436,0.03187900235514159,0.5383038688188573,0.020587911777744702,0.4607993850883935,0.025211413455217598
i-no,0.0,0.0,1.0,0.0,0.515625,0.16117124541654784,0.53125,0.1137980533587556,0.4985835694050991,0.06865949660678523,0.4882032667876588,0.05494054988562719,0.5003445899379738,0.033865375929400136,0.5141206675224647,0.0326687655190788,0.5244047619047619,0.022228089122750865,0.5074834667594849,0.02406430087412754
goldlewis,0.3333333333333333,0.7021870595978444,0.0,0.0,0.6341463414634146,0.19407796260258176,0.48148148148148145,0.24809028254743737,0.4251968503937008,0.1131807153417068,0.5932203389830508,0.09526222132420302,0.5279805352798054,0.0449234092125136,0.5335608646188851,0.043412494677194643,0.5341246290801187,0.021138033937509827,0.5286794130724767,0.027156849329014354
jack-o,0.0,0.0,0.0,0.0,0.42105263157894735,0.20664059457388634,0.5344827586206896,0.1689819994872936,0.4591439688715953,0.08019890243029355,0.5369458128078818,0.06384660766581175,0.46768507638072854,0.04412817866706338,0.46808510638297873,0.0484851378021401,0.4377224199288256,0.028859732764602776,0.44645340751043117,0.033822478142756546
